Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Sebastian Paz","DSU",,0.1,0,53.99999839067464,0,0,0,0.16666667,-0.16666667,0.9,32.99999901652339,0.9,0.09090909,269.9999919533732,23.314330232143416,246.68566172122976,"Sebastian Paz","sa3065590",
"Will Russotti","HC",20,0.1,0,53.99999839067464,0,0,0,0.22222222,-0.22222222,0.83333333,20.999999374151248,0.83333333,0,215.99999356269856,31.695775371789956,184.3042181909086,"Will Russotti","sa3066399",
"Amaan Khan","SLU",,0.1,0,26.99999919533732,0,0,0,0.1,-0.1,0.77777778,23.999999284744284,0.77777778,0.125,188.99999436736124,13.436622065305716,175.5633723020555,"Amaan Khan","sa3059673",
"Jaxson Ingle","CARK",,0.2,0,53.99999839067464,0,0,0,0.23529412,-0.23529412,0.83333333,20.999999374151248,0.83333333,0.13333333,161.99999517202392,26.67721891105177,135.32277626097215,"Jaxson Ingle","sa3059567",
"Jameson Ferraro","CARK",21,0.1,0,53.99999839067464,0,0,0,0.33333333,-0.33333333,0.75,14.999999552965177,0.75,0,134.9999959766866,22.177219045162214,112.82277693152437,"Jameson Ferraro","sa3031271",
"James Reese","LAF",21,0.1,0,26.99999919533732,0,0,0,0.16666667,-0.16666667,0.66666667,8.999999731779106,0.66666667,0,134.9999959766866,31.695775371789956,103.30422060489664,"James Reese","sa3040546",
"Ryan Brader","MAN",,0.1,26.99999919533732,107.99999678134928,0.25,0,0.16666667,0.66666667,-0.5,0.5,14.999999552965177,1,0,134.9999959766866,34.36880375146868,100.63119222521792,"Ryan Brader","sa3066922",
"William Price","EKU",,0.1,26.99999919533732,53.99999839067464,0.5,53.99999839067464,0.11111111,0.22222222,-0.11111111,0.5,11.999999642372142,0,-0.23809524,215.99999356269856,121.17721609473239,94.82277746796618,"William Price","sa3060304",
"Corey Battey","PV",,0.1,0,107.99999678134928,0,0,0,0.57142857,-0.57142857,0.66666667,17.99999946355821,0.66666667,0.16666667,134.9999959766866,41.43070800304416,93.56928797364243,"Corey Battey","sa3026723",
"Andrew Rucci","WAG",,0.1,0,107.99999678134928,0,0,0,0.66666667,-0.66666667,0,11.999999642372142,0,0,134.9999959766866,50.31432942748074,84.68566654920585,"Andrew Rucci","sa3041250",
"Leo Simpson","TOW",,0.2,13.49999959766866,94.49999718368062,0.14285714,0,0.06666667,0.46666667,-0.4,0.6,14.999999552965177,0.75,0.30769231,121.49999637901794,46.33929051160816,75.16070586740977,"Leo Simpson","sa3066401",
"MJ Phillips","TOW",,0.1,26.99999919533732,53.99999839067464,0.5,0,0.2,0.4,-0.2,0,5.999999821186071,0,0,107.99999678134928,34.33929086923602,73.66070591211326,"MJ Phillips","sa3060265",
"Luke Matta","DAY",21,1,9,18,0.5,0,0.08333333,0.16666667,-0.08333333,0.7,9,0.77777778,0.11111111,72,8.43662233352661,63.563377666473386,"Luke Matta","sa3037316",
