Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Connor Ashby","KENT",22,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,"Connor Ashby","sa3026261",
"Parker Byrd","ECU",,2,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"Parker Byrd","sa3028202",
"Joey Craska","MAN",23,13,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"Joey Craska","sa3029528",
"Tate Foxson","BUT",,19,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,"Tate Foxson","sa3031613",
"Tyler Franks","KENN",,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Tyler Franks","sa3031654",
"Jake Hunter","ECU",22,28,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Jake Hunter","sa3034326",
"Kevin Jackson","ALCN",,2,2,3,2,2,0,0,0,2,1,1,0,0,0,0,0,1,0,1,"Kevin Jackson","sa3034503",
"Eric Ludwick","FAIR",,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Eric Ludwick","sa3036660",
"Landry Mead","GASO",22,9,2,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,"Landry Mead","sa3037763",
"Nick Suspenzi","USD",,7,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,"Nick Suspenzi","sa3043341",
"Alessandro Volpe","LIN",,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Alessandro Volpe","sa3044559",
"Kooper Jones","WSU",,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kooper Jones","sa3059624",
"Wylan Moss","UCLA",,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Wylan Moss","sa3060100",
"Brayden Yasuzawa","VILL",,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Brayden Yasuzawa","sa3060983",
"Gavyn Jones","OU",,24,3,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,1,"Gavyn Jones","sa3062857",
"Nicholas Spry","FAMU",,8,1,3,1,1,0,0,0,2,1,1,0,0,1,0,0,1,0,1,"Nicholas Spry","sa3062907",
"Ethan Guerra","ARIZ",21,1,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"Ethan Guerra","sa3066545",
"Adham Sahebzadah","GW",,2,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,"Adham Sahebzadah","sa3066641",
"Ethan Espiricueta","JMU",,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Ethan Espiricueta","sa3066976",
"Nathan Tobin","TA&M",,11,1,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,"Nathan Tobin","sa3066991",
