Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Andrew Dutton","AUB",,1,0,0,0,1,1,4,5,3,0.14285714,0,0,1.5849195621799195,1.4000001005719864,1.8902318477630615,857.0864031284452,"Andrew Dutton","sa3067480",
"Nick Suspenzi","USD",,1,0,0,0,1,1,2,3,1,0.14285714,1,0,1.0164727472387156,0.8634003006540142,1.267012119293213,664.0468418176472,"Nick Suspenzi","sa3043341",
"Tyler Franks","KENN",,1,0,0,0,1,1,2,3,1,0.14285714,1,0,1.0090111438425557,0.8411227707060354,1.2627241611480713,601.00120395,"Tyler Franks","sa3031654",
"Landry Mead","GASO",22,2,0,0,0,1,1,1.5,2.5,0.5,2.64285714,1,-0.001669328659772873,1.6626797524381163,1.352637281744528,1.117512285709381,536.2748363856658,"Landry Mead","sa3037763",
"Nathan Tobin","TA&M",,1,0,0,0,1,1,2,3,1,2.64285714,1,0,0.9795172150085513,0.7945977534006182,1.2443996667861938,529.6993656002132,"Nathan Tobin","sa3066991",
"Jayden Alvarez","WAG",22,3,0,0,0,1,1,1.5,2.5,0.5,2.64285714,1,-0.007864773273468018,2.591543715969077,2.0916855005178365,1.031093696753184,518.4557612261298,"Jayden Alvarez","sa3067498",
"Joey Craska","MAN",23,1,0,0,0,1,1,1,2,0,2.64285714,1,-0.002799555892124772,0.7550328223527446,0.5926676242173686,0.9699345827102661,465.02134141037874,"Joey Craska","sa3029528",
"Eric Ludwick","FAIR",,1,0,0,0,1,1,1,2,0,2.64285714,1,-0.002799555892124772,0.7550328223527446,0.5926676242173686,0.9699345827102661,465.02134141037874,"Eric Ludwick","sa3036660",
"Tate Foxson","BUT",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.005120167043060064,0.7535833868323385,0.5824801030694067,0.9659166932106018,440.4260223763142,"Tate Foxson","sa3031613",
"Brayden Yasuzawa","VILL",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.005120167043060064,0.7535833868323385,0.5824801030694067,0.9659166932106018,440.4260223763142,"Brayden Yasuzawa","sa3060983",
"Ethan Espiricueta","JMU",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.001669328659772873,0.6813398382688919,0.5263186029220978,0.9525989294052124,439.513874821526,"Ethan Espiricueta","sa3066976",
"Connor Ashby","KENT",22,2,0,0,0,1,1,1,2,0,0.14285714,1,-0.0005976854590699077,1.5009705617820488,1.1568532481586205,0.9588257670402527,436.1799021320324,"Connor Ashby","sa3026261",
"Alessandro Volpe","LIN",,1,0,0,0,1,1,1,2,0,2.64285714,1,-0.004495173692703247,0.7318517335394105,0.5638870068529328,0.9552310705184937,435.7175152051313,"Alessandro Volpe","sa3044559",
"Jake Hunter","ECU",22,1,0,0,0,1,1,1,2,0,2.64285714,1,-0.005757816135883331,0.6849356840127935,0.5254116306776037,0.9539111256599426,429.36201136615784,"Jake Hunter","sa3034326",
"Darius Adkins","JOES",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.0032092351466417313,0.7630348413362542,0.5852749853506127,0.9643114805221558,429.2503710162142,"Darius Adkins","sa3067263",
"Kevin Jackson","ALCN",,3,0.333333333,0,1,1,1,1,2,0,7.0619652460748235,1,0.18099479470402002,2.3578884625009766,1.8007484101824036,0.9328036308288574,423.2128802602644,"Kevin Jackson","sa3034503",
"Kooper Jones","WSU",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.0009707499411888421,0.7048793580174827,0.5332412715793037,0.9386769533157349,410.67770717157674,"Kooper Jones","sa3059624",
