Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Cameron Nickens","APSU",21,294,0.159863945,0.095238095,1.678571428,0.421940928,0.520408163,0.767932489,1.288340652,0.345991561,5.529005246776871,0.42051282,-1.2944669099524617,95.36962931960734,51.53726365774782,0.5561722954925226,217.57810211597294,"Cameron Nickens","sa3038853",
"John Bay","APSU",24,295,0.162711864,0.210169491,0.774193548,0.36,0.506802721,0.768888888,1.275691609,0.408888888,8.005963257062877,0.415492957,-0.481577942147851,92.72450304351358,48.74304770253211,0.5455563181922549,210.82636380409588,"John Bay","sa3026767",
"Logen Devenport","NKU",,215,0.148837209,0.190697674,0.780487804,0.422619047,0.533018867,0.785714285,1.318733152,0.363095238,6.025711832858757,0.495652173,0.850450785830617,76.27069258812458,39.85993036750346,0.5608380802397458,209.47293584787667,"Logen Devenport","sa3030221",
"Cardell Thibodeaux","SOU",21,238,0.163865546,0.113445378,1.444444444,0.439153439,0.544303797,0.846560846,1.390864643,0.407407407,8.732779948823257,0.445205479,-2.888651073910296,91.50711952626,47.30734204231987,0.5813306388975699,207.03072444088403,"Cardell Thibodeaux","sa3043664",
"Drew Wyers","BRY",22,194,0.134020618,0.087628865,1.529411764,0.406896551,0.520618556,0.710344827,1.230963383,0.303448276,5.481097741427622,0.387096774,0.7934837862849236,60.27250621865134,29.736854743460228,0.5322525492034007,197.38405210584787,"Drew Wyers","sa3045647",
"Konni Durschlag","HPU",,283,0.137809187,0.120141342,1.147058823,0.43438914,0.54609929,0.751131221,1.297230511,0.316742081,5.5764566221605225,0.462857142,0.10919366008602083,103.4711889457774,50.71605551064727,0.5592017875495532,196.1348255767561,"Konni Durschlag","sa3030698",
"Raymond Velazquez","APSU",22,216,0.148148148,0.148148148,1,0.364161849,0.478873239,0.728323699,1.207196938,0.36416185,5.292856336579295,0.362903225,0.06469202507287264,62.68171209488896,30.47834140454319,0.5201112040331666,194.64332692875618,"Raymond Velazquez","sa3044431",
"Aidan Redahan","CCSU",,234,0.106837606,0.051282051,2.083333333,0.455,0.510729613,0.695,1.205729613,0.24,7.301219955298785,0.445652173,0.8760291337966919,75.7758562710349,36.786915465838135,0.5347621082747954,194.3521796338075,"Aidan Redahan","sa3040514",
"Kaleb Freeman","GAST",,276,0.221014492,0.206521739,1.070175438,0.349282296,0.503623188,0.732057416,1.235680604,0.38277512,7.195144771797003,0.416058394,1.2318407781422138,82.75947111490963,39.973610159194436,0.5331840413636055,193.42714921774856,"Kaleb Freeman","sa3031690",
"Kyle Fossum","YSU",22,274,0.167883211,0.193430656,0.867924528,0.381818181,0.496350364,0.777272727,1.273623091,0.395454546,4.511325403085793,0.417808219,-1.1566066859522834,88.80176835576768,42.39921557227846,0.5322901056195698,191.3725927323653,"Kyle Fossum","sa3031570",
"Boston Smith","WRST",22,282,0.202127659,0.184397163,1.096153846,0.331730769,0.5,0.774038461,1.274038461,0.442307692,7.011992628416089,0.328244274,-1.9438323231879622,90.44219668117002,42.68482483830884,0.5291450174791472,189.3785047023885,"Boston Smith","sa3042491",
"Aiden Robbins","HALL",20,255,0.172549019,0.125490196,1.375,0.421568627,0.537254901,0.651960784,1.189215685,0.230392157,8.821531497031934,0.48192771,2.802181906532496,82.41368479125161,38.782347431704,0.5411038651185878,188.88645129557887,"Aiden Robbins","sa3040859",
"Joe Tiroly","RID",,241,0.149377593,0.103734439,1.44,0.376884422,0.4813278,0.748743718,1.230071518,0.371859296,6.287129762421783,0.363057324,-1.0349703319370747,73.59153159369475,34.46151884306914,0.5252908114575746,188.06927578248275,"Joe Tiroly","sa3043858",
"James Quinn-Irons","GMU",,298,0.130872483,0.154362416,0.847826086,0.419087136,0.523489932,0.734439834,1.257929766,0.315352698,8.197312724323906,0.469613259,2.2452972792088985,99.13972772744056,46.16729064371939,0.5478385196836203,187.15342012819522,"James Quinn-Irons","sa3040344",
"Ben Parker","W&M",24,273,0.109890109,0.12087912,0.909090909,0.406926406,0.498168498,0.683982683,1.182151181,0.277056277,8.311602878608118,0.443850267,0.10357414744794369,84.0475933448163,38.86475900269423,0.5215448695661384,186.01664673891923,"Ben Parker","sa3039445",
"Jack Gurevitch","USD",21,277,0.12635379,0.155234657,0.813953488,0.371179039,0.476534296,0.681222707,1.157757003,0.310043668,5.179578972824152,0.4,-0.5479632916394621,78.56000809334594,36.158940389383616,0.50453030740311,185.27837233213023,"Jack Gurevitch","sa3032859",
"Trey Rutledge","AAMU",,182,0.203296703,0.076923076,2.642857142,0.396825396,0.573033707,0.523809523,1.09684323,0.126984127,9.953463031837149,0.441441441,3.857012220658362,62.437261159528134,28.637431318868042,0.5450681026062268,184.72655470122552,"Trey Rutledge","sa3060456",
"Jake Casey","KENT",22,269,0.137546468,0.208178438,0.660714285,0.35576923,0.5,0.735576923,1.235576923,0.379807693,8.686217169445241,0.422222222,-1.1626184975611977,84.32932943732426,38.04555075497314,0.5290355126359569,182.20061507095713,"Jake Casey","sa3028574",
"Hayden Jatczak","KENT",23,269,0.171003717,0.137546468,1.243243243,0.375586854,0.490706319,0.769953051,1.26065937,0.394366197,8.14793951878385,0.390243902,0.6911906946916133,84.23506303004314,37.95128434769202,0.5286908561855443,181.99694456270393,"Hayden Jatczak","sa3059585",
